Station Number,Station Name,Date,Latitude,Longitude,Depth (m),Temperature,Salinity,Bottle #,Chla Conc (ug/L),Ammonia [µmol/L],Phosphate [µmol/L],Nitrite + Nitrate [µmol/L],Silicate [µmol/L],delta O-18
AMBON17-001,DBO3.8,20170806,67.667,-168.955,49.27,4.14,32.63,1,2.06,2.87,1.66,12.43,35.13,-1.11
AMBON17-001,DBO3.8,20170806,67.667,-168.955,49.45,4.14,32.63,2,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,40.29,4.15,32.63,3,2.23,2.66,1.63,12.5,35.89,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,40.44,4.15,32.63,4,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,29.25,4.16,32.63,5,2.13,3.26,1.66,13.29,36.25,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,29.33,4.15,32.63,6,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,20.65,4.19,32.63,7,2.18,2.71,1.55,12.07,34.79,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,20.72,4.19,32.63,8,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,10.56,5.02,32.66,9,8.68,0.57,1.01,5.81,23.06,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,10.61,5.01,32.66,10,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.954,5.46,6.72,32.71,11,9.28,0.32,0.32,0.29,11.04,-1.1
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.56,6.72,32.71,12,,,,,,
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.43,6.72,32.71,13,,,,,,
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.44,6.71,32.72,14,,,,,,
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.48,6.67,32.72,15,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,46.63,3.98,32.76,1,0.96,3.7,1.73,12.07,30.61,-1.03
AMBON17-002,DBO3.7,20170806,67.784,-168.605,46.67,3.98,32.76,2,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,41.89,3.97,32.76,3,0.78,3.75,1.65,11.86,30.36,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,41.96,3.98,32.63,4,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,30.31,4.09,32.76,5,0.94,3.25,1.61,11.64,28.81,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,30.29,4.08,32.76,6,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,19.96,4.74,32.76,7,2.51,0.81,1.2,7.36,19.79,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,20.08,4.74,32.75,8,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,16.83,5.14,32.74,9,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,10.17,6.25,32.73,10,3.06,0.27,0.32,0.25,8.66,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,10.26,6.2,32.73,11,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,7.32,6.79,32.67,12,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,7.28,6.79,32.66,13,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.604,4.92,8,32,14,2.01,0.22,0.21,0.17,3.28,-1.34
AMBON17-002,DBO3.7,20170806,67.784,-168.604,4.91,8.02,31.99,15,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,53.54,3.94,32.51,1,2.16,3.8,1.47,7.03,34.17,-1.06
AMBON17-003,DBO3.6,20170807,67.897,-168.237,53.61,3.94,32.52,2,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,41.18,3.93,32.49,3,1.08,3.63,1.44,6.94,32.17,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,41.19,3.93,32.49,4,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,30.09,4.06,32.4,5,0.98,2.43,1.37,7.21,22.3,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,29.99,4.06,32.4,6,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,19.95,4.28,32.27,7,1.81,0.76,1.01,2.02,15.28,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,19.95,4.28,32.27,8,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,10.32,5.07,32.15,9,3.84,0.19,0.62,0.15,9.19,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,10.3,5.06,32.15,10,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,5.19,6.66,32.08,11,19.52,0.88,0.48,0.12,7.14,-1.29
AMBON17-003,DBO3.6,20170807,67.897,-168.237,5.15,6.66,32.08,12,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,2.13,8.32,31.37,13,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,2.27,8.34,31.36,14,,,,,,
AMBON17-004,DBO3.5,20170807,68.012,-167.867,48.57,3.91,32.24,1,0.64,1.88,1.14,1.26,17.79,-1.05
AMBON17-004,DBO3.5,20170807,68.012,-167.867,48.61,3.91,32.24,2,,,,,,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,40.36,3.9,32.24,3,0.54,1.89,1.19,5.21,16.64,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,40.53,3.9,32.24,4,,,,,,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,30.88,3.86,32.2,5,0.43,1.95,1.2,1.12,14.76,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,30.79,3.86,32.21,6,,,,,,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,20.85,3.93,32.13,7,0.44,1.65,1.02,0.7,9.75,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,20.96,3.93,32.13,8,,,,,,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,10.61,7.03,32.01,9,3.14,0.18,0.37,0.11,7,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,10.3,7.13,32.02,10,,,,,,
AMBON17-004,DBO3.5,20170807,68.012,-167.866,5.1,7.57,32.02,11,3.99,0.14,0.3,0.12,6.16,-1.16
AMBON17-004,DBO3.5,20170807,68.012,-167.866,5.09,7.51,32,12,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,48.14,4.82,32.05,1,1.19,1.81,1.01,3.34,16.02,-1.17
AMBON17-005,DBO3.4,20170807,68.124,-167.498,48.17,4.81,32.05,2,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,39.7,4.82,32.05,3,1.03,1.75,0.94,2.35,15.27,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,40.21,4.82,32.05,4,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,29.69,4.84,32.04,5,0.91,1.82,0.99,0.78,14.85,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,30.28,4.84,32.04,6,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,20.95,4.85,32.04,7,0.97,1.79,0.97,0.72,14.43,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,20.96,4.85,32.04,8,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,16.4,7.87,31.78,9,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,16.2,7.88,31.78,10,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,10.4,9.05,31.72,11,1.98,0.73,0.17,0.24,2.47,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,10.62,9,31.72,12,,,,,,
AMBON17-005,DBO3.4,20170807,68.124,-167.498,4.53,9.62,31.72,13,1.92,0.69,0.19,0.33,2.47,-1.11
AMBON17-005,DBO3.4,20170807,68.125,-167.498,4.76,9.62,31.72,14,,,,,,
AMBON17-005,DBO3.4,20170807,68.125,-167.498,4.66,9.62,31.72,15,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.306,45.15,7.69,31.85,1,1.19,1.54,0.59,2.36,8.68,-1.16
AMBON17-006,DBO3.3,20170807,68.186,-167.306,45.19,7.69,31.85,2,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.306,41.23,7.69,31.85,3,1.03,1.23,0.59,0.7,9,
AMBON17-006,DBO3.3,20170807,68.186,-167.306,40.26,7.69,31.85,4,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.306,31,7.69,31.85,5,0.91,1.12,0.59,0.5,8.82,
AMBON17-006,DBO3.3,20170807,68.186,-167.307,30.66,7.69,31.85,6,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.307,21.39,7.68,31.84,7,0.97,0.98,0.58,0.51,8.73,
AMBON17-006,DBO3.3,20170807,68.186,-167.307,21.13,7.68,31.84,8,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.307,14.72,7.74,31.81,9,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.307,14.39,7.73,31.81,10,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.308,10.18,9.34,30.88,11,1.98,0.18,0.11,0.38,1.91,
AMBON17-006,DBO3.3,20170807,68.186,-167.308,9.79,9.38,30.9,12,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.308,5.07,9.63,31.64,13,1.92,0.4,0.13,0.27,1.82,-1.1
AMBON17-006,DBO3.3,20170807,68.186,-167.308,5.2,9.63,31.64,14,,,,,,
AMBON17-006,DBO3.3,20170807,68.186,-167.308,5.11,9.63,31.64,15,,,,,,
AMBON17-007,DBO3.2,20170807,68.244,-167.125,40.1,8.57,31.47,1,0.96,0.67,0.63,0.44,8.14,-1.39
AMBON17-007,DBO3.2,20170807,68.244,-167.125,40.07,8.56,31.48,2,,,,,,
AMBON17-007,DBO3.2,20170807,68.244,-167.126,30.16,8.6,31.43,3,1.1,0.52,0.62,0.54,8.27,
AMBON17-007,DBO3.2,20170807,68.244,-167.126,30.49,8.61,31.43,4,,,,,,
AMBON17-007,DBO3.2,20170807,68.244,-167.126,20.74,8.58,31.41,5,1.04,0.65,0.67,0.26,8.48,
AMBON17-007,DBO3.2,20170807,68.244,-167.127,20.91,8.58,31.41,6,,,,,,
AMBON17-007,DBO3.2,20170807,68.244,-167.127,10.95,9.1,31.41,7,1.81,0.26,0.48,0.26,6.31,
AMBON17-007,DBO3.2,20170807,68.244,-167.127,10.71,9.12,31.41,8,,,,,,
AMBON17-007,DBO3.2,20170807,68.244,-167.127,5.79,9.88,31.46,9,2.19,0.25,0.3,0.11,3.43,-1.22
AMBON17-007,DBO3.2,20170807,68.244,-167.127,5.5,9.85,31.45,10,,,,,,
AMBON17-008,DBO3.1,20170807,68.3,-166.939,31.75,10.55,31.01,1,2.16,0.23,0.52,0.21,4.49,-1.71
AMBON17-008,DBO3.1,20170807,68.3,-166.939,31.82,10.55,31.01,2,,,,,,
AMBON17-008,DBO3.1,20170807,68.3,-166.939,20.64,10.55,30.99,3,1.93,0.24,0.53,0.21,4.48,
AMBON17-008,DBO3.1,20170807,68.3,-166.939,20.39,10.56,30.97,4,,,,,,
AMBON17-008,DBO3.1,20170807,68.3,-166.94,13.52,11.24,30.71,5,,,,,,
AMBON17-008,DBO3.1,20170807,68.3,-166.94,13.51,11.25,30.72,6,,,,,,
AMBON17-008,DBO3.1,20170807,68.3,-166.941,9.3,11.26,30.71,7,1.82,1.31,0.46,0.15,6.14,
AMBON17-008,DBO3.1,20170807,68.3,-166.941,9.39,11.26,30.71,8,,,,,,
AMBON17-008,DBO3.1,20170807,68.299,-166.942,5.1,12.22,28.27,9,1.7,0.6,0.41,0.21,5.45,-3.13
AMBON17-008,DBO3.1,20170807,68.299,-166.942,5.34,12.2,28.32,10,,,,,,
AMBON17-009,CL3,20170808,69.033,-168.893,48.8,4.36,32.33,1,1.08,0.19,0.99,0.26,14.45,-1.16
AMBON17-009,CL3,20170808,69.034,-168.893,48.97,4.35,32.32,2,,,,,,
AMBON17-009,CL3,20170808,69.034,-168.893,40.85,4.58,32.28,3,1.26,0.18,0.84,0.22,12.7,
AMBON17-009,CL3,20170808,69.034,-168.893,40.88,4.58,32.28,4,,,,,,
AMBON17-009,CL3,20170808,69.034,-168.893,29.79,5.11,32.26,5,1.33,0.27,0.74,0.21,6.22,
AMBON17-009,CL3,20170808,69.034,-168.893,29.51,5.11,32.26,6,,,,,,
AMBON17-009,CL3,20170808,69.034,-168.893,20.68,5.37,32.23,7,3.52,0.29,0.68,0.36,6.99,
AMBON17-009,CL3,20170808,69.034,-168.893,20.7,5.37,32.23,8,,,,,,
AMBON17-009,CL3,20170808,69.033,-168.893,14.38,6.45,32.29,9,,,,,,
AMBON17-009,CL3,20170808,69.033,-168.893,14.21,6.39,32.29,10,,,,,,
AMBON17-009,CL3,20170808,69.033,-168.892,10.49,7.2,32.27,11,8.16,0.23,0.54,0.13,4.16,
AMBON17-009,CL3,20170808,69.033,-168.892,10.63,7.26,32.25,12,,,,,,
AMBON17-009,CL3,20170808,69.033,-168.892,4.73,7.28,32.25,13,5.56,0.17,0.32,0.17,3.92,-1.16
AMBON17-009,CL3,20170808,69.033,-168.892,4.71,7.28,32.25,14,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,15.46,7.25,32.26,1,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,12.15,7.4,32.25,2,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,9.65,7.48,32.24,3,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,9.55,7.56,32.22,4,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,8,7.54,32.2,5,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,6.8,7.53,32.19,6,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,5.67,7.53,32.18,7,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,4.77,7.52,32.19,8,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,3.91,7.52,32.18,9,,,,,,
AMBON17-010,CL2.5,20170808,69.03,-168.411,2.41,7.53,32.17,10,,,,,,
AMBON17-011,CL2,20170808,69.029,-167.934,45.86,5.55,32.22,1,0.75,0.48,0.69,0.41,8.54,-1.11
AMBON17-011,CL2,20170808,69.029,-167.934,46.56,5.49,32.22,2,,,,,,
AMBON17-011,CL2,20170808,69.029,-167.934,39.27,5.79,32.23,3,0.78,0.53,0.63,0.75,5.93,
AMBON17-011,CL2,20170808,69.029,-167.934,39.9,5.79,32.23,4,,,,,,
AMBON17-011,CL2,20170808,69.029,-167.934,31.33,6.2,32.18,5,0.71,0.18,0.46,0.35,4.43,
AMBON17-011,CL2,20170808,69.029,-167.934,31.31,6.2,32.18,6,,,,,,
AMBON17-011,CL2,20170808,69.029,-167.934,19.01,6.72,32.09,7,0.98,0.26,0.47,0.13,4.56,
AMBON17-011,CL2,20170808,69.029,-167.934,18.84,6.72,32.1,8,,,,,,
AMBON17-011,CL2,20170808,69.029,-167.934,9.53,8.82,31.62,9,3.95,0.14,0.34,0.41,4.75,
AMBON17-011,CL2,20170808,69.029,-167.934,9.25,8.85,31.61,10,,,,,,
AMBON17-011,CL2,20170808,69.029,-167.934,3.89,9.08,31.49,11,2.66,0.23,0.38,0.18,4.61,-1.69
AMBON17-011,CL2,20170808,69.029,-167.934,3.74,9.08,31.49,12,,,,,,
AMBON17-012,CL1.5,20170808,69,-167.434,16.93,7.4,32.05,1,,,,,,
AMBON17-012,CL1.5,20170808,69,-167.434,4.86,7.91,31.94,2,,,,,,
AMBON17-013,CL1,20170808,68.949,-166.907,43.18,7.35,31.87,1,1.07,0.94,0.59,0.45,9.41,-1.4
AMBON17-013,CL1,20170808,68.949,-166.907,43.39,7.35,31.87,2,,,,,,
AMBON17-013,CL1,20170808,68.949,-166.906,39.52,7.56,31.81,3,1.1,0.82,0.59,0.35,9.44,
AMBON17-013,CL1,20170808,68.949,-166.906,39.54,7.59,31.8,4,,,,,,
AMBON17-013,CL1,20170808,68.949,-166.906,30.63,8.2,31.69,5,1.15,0.48,0.56,0.33,7.66,
AMBON17-013,CL1,20170808,68.949,-166.906,30.76,8.19,31.69,6,,,,,,
AMBON17-013,CL1,20170808,68.948,-166.906,20.41,8.99,31.51,7,2.27,0.27,0.44,0.4,6.92,
AMBON17-013,CL1,20170808,68.948,-166.906,20.56,8.98,31.5,8,,,,,,
AMBON17-013,CL1,20170808,68.948,-166.906,14.51,9.29,31.36,9,,,,,,
AMBON17-013,CL1,20170808,68.948,-166.906,14.79,9.29,31.36,10,,,,,,
AMBON17-013,CL1,20170808,68.948,-166.906,10.01,9.44,31.29,11,1.61,0.5,0.53,0.15,6.88,
AMBON17-013,CL1,20170808,68.948,-166.906,9.99,9.44,31.29,12,,,,,,
AMBON17-013,CL1,20170808,68.948,-166.906,4.56,9.98,31.08,13,1.81,0.33,0.52,0.18,5.65,-2.02
AMBON17-013,CL1,20170808,68.948,-166.906,4.33,9.99,31.08,14,,,,,,
AMBON17-014,CL0,20170808,68.9,-166.426,27.01,9.87,31.05,1,1.26,0.95,0.6,0.39,7.72,-2.44
AMBON17-014,CL0,20170808,68.9,-166.426,27.09,9.88,31.05,2,,,,,,
AMBON17-014,CL0,20170808,68.9,-166.426,19.52,10.64,30.58,3,1.31,0.59,0.6,0.15,7.5,
AMBON17-014,CL0,20170808,68.9,-166.426,18.99,10.64,30.56,4,,,,,,
AMBON17-014,CL0,20170808,68.9,-166.427,10.24,10.99,30.01,5,1.32,0.41,0.61,0.22,6.81,
AMBON17-014,CL0,20170808,68.9,-166.427,10.19,10.94,30.07,6,,,,,,
AMBON17-014,CL0,20170808,68.901,-166.426,5.75,11.76,28.74,7,,,,,,
AMBON17-014,CL0,20170808,68.901,-166.426,6.13,11.76,28.7,8,,,,,,
AMBON17-014,CL0,20170808,68.902,-166.426,3.88,11.85,28.29,9,1.74,0.23,0.44,0.17,4.82,-3.21
AMBON17-014,CL0,20170808,68.902,-166.426,3.76,11.85,28.27,10,,,,,,
AMBON17-015,ML6.1,20170809,70.087,-163.96,28.46,4.46,31.27,1,0.81,3.76,1.1,1.22,26.45,-1.76
AMBON17-015,ML6.1,20170809,70.087,-163.96,28.17,4.46,31.27,2,,,,,,
AMBON17-015,ML6.1,20170809,70.087,-163.96,21.34,6.4,31.36,3,,,,,,
AMBON17-015,ML6.1,20170809,70.087,-163.96,21.52,6.26,31.37,4,,,,,,
AMBON17-015,ML6.1,20170809,70.087,-163.96,19.37,7.5,31.13,5,2,0.56,0.51,0.1,4.6,
AMBON17-015,ML6.1,20170809,70.087,-163.96,19.4,7.39,31.15,6,,,,,,
AMBON17-015,ML6.1,20170809,70.087,-163.96,10.17,9.89,30.56,7,1.38,0.23,0.45,0.11,4.6,
AMBON17-015,ML6.1,20170809,70.087,-163.96,10.61,9.89,30.56,8,,,,,,
AMBON17-015,ML6.1,20170809,70.087,-163.96,5.06,9.89,30.56,9,1.14,1.25,0.41,0.48,4.82,-2.24
AMBON17-015,ML6.1,20170809,70.087,-163.96,5.29,9.89,30.56,10,,,,,,
AMBON17-016,ML6.2,20170809,70.268,-163.407,26.47,3.91,30.97,1,0.89,2.82,1.12,1.57,18.23,-1.76
AMBON17-016,ML6.2,20170809,70.268,-163.407,26.96,3.9,30.97,2,,,,,,
AMBON17-016,ML6.2,20170809,70.268,-163.406,19.58,8.08,30.58,3,2.34,0.14,0.49,0.26,4.72,
AMBON17-016,ML6.2,20170809,70.268,-163.406,20.47,5.89,30.85,4,,,,,,
AMBON17-016,ML6.2,20170809,70.268,-163.404,12.12,9.64,30.43,5,1.78,0.29,0.43,0.43,3.99,
AMBON17-016,ML6.2,20170809,70.268,-163.404,11.96,9.64,30.42,6,,,,,,
AMBON17-016,ML6.2,20170809,70.268,-163.403,5.2,9.71,30.29,7,1.31,0.14,0.44,0.08,4.1,-2.02
AMBON17-016,ML6.2,20170809,70.268,-163.403,4.74,9.71,30.29,8,,,,,,
AMBON17-017,ML6.3,20170809,70.389,-163.024,27.52,4.39,31.33,1,1.06,2.02,0.96,1.39,15.66,-1.8
AMBON17-017,ML6.3,20170809,70.389,-163.024,27.45,4.39,31.32,2,,,,,,
AMBON17-017,ML6.3,20170809,70.389,-163.022,25.14,4.41,31.32,3,,,,,,
AMBON17-017,ML6.3,20170809,70.389,-163.022,24.69,4.41,31.33,4,,,,,,
AMBON17-017,ML6.3,20170809,70.389,-163.022,20.46,8.38,30.9,5,2,0.37,0.54,0.44,5.32,
AMBON17-017,ML6.3,20170809,70.389,-163.022,19.83,8.81,30.88,6,,,,,,
AMBON17-017,ML6.3,20170809,70.389,-163.021,9.77,9.47,30.89,7,1.6,0.38,0.42,0.45,3.77,
AMBON17-017,ML6.3,20170809,70.389,-163.02,10.08,9.47,30.89,8,,,,,,
AMBON17-017,ML6.3,20170809,70.389,-163.019,5.21,9.47,30.89,9,1.43,0.29,0.42,0.3,3.79,-1.89
AMBON17-017,ML6.3,20170809,70.389,-163.019,6.18,9.47,30.89,10,,,,,,
AMBON17-018,ML6.4,20170809,70.509,-162.642,29.21,4.53,31.38,1,0.8,2.61,1.01,1.4,15.03,-1.68
AMBON17-018,ML6.4,20170809,70.509,-162.642,29.83,4.53,31.38,2,,,,,,
AMBON17-018,ML6.4,20170809,70.509,-162.642,23.28,4.57,31.33,3,,,,,,
AMBON17-018,ML6.4,20170809,70.509,-162.642,23.78,4.56,31.33,4,,,,,,
AMBON17-018,ML6.4,20170809,70.509,-162.642,20.76,8.46,31.08,5,1.75,0.27,0.41,0.61,3.65,
AMBON17-018,ML6.4,20170809,70.509,-162.642,20.58,8.67,31.08,6,,,,,,
AMBON17-018,ML6.4,20170809,70.51,-162.642,11.39,9.47,31.01,7,1.82,0.23,0.39,0.17,3.02,
AMBON17-018,ML6.4,20170809,70.51,-162.642,10.48,9.47,31.01,8,,,,,,
AMBON17-018,ML6.4,20170809,70.51,-162.641,4.17,9.47,31.01,9,1.63,0.23,0.39,0.17,3,-1.99
AMBON17-018,ML6.4,20170809,70.51,-162.641,3.77,9.47,31.01,10,,,,,,
AMBON17-019,ML6.5,20170810,70.626,-162.245,35.46,5.14,31.53,1,0.7,4.87,1.55,2.13,13.61,-1.63
AMBON17-019,ML6.5,20170810,70.626,-162.245,36.03,5.13,31.53,2,,,,,,
AMBON17-019,ML6.5,20170810,70.626,-162.245,30.03,5.13,31.53,3,0.63,4.8,1.52,0.8,13.4,
AMBON17-019,ML6.5,20170810,70.626,-162.245,29.46,5.13,31.53,4,,,,,,
AMBON17-019,ML6.5,20170810,70.626,-162.246,20.82,7.32,31.51,5,1.66,0.34,0.41,0.27,1.78,
AMBON17-019,ML6.5,20170810,70.626,-162.246,20.28,7.8,31.45,6,,,,,,
AMBON17-019,ML6.5,20170810,70.626,-162.246,10.49,9.17,31.22,7,1.56,0.14,0.35,0.2,1.78,
AMBON17-019,ML6.5,20170810,70.626,-162.246,10.4,9.17,31.22,8,,,,,,
AMBON17-019,ML6.5,20170810,70.626,-162.245,4.86,9.17,31.22,9,1.8,0.3,0.38,0.27,1.78,-1.64
AMBON17-019,ML6.5,20170810,70.626,-162.245,4.69,9.17,31.22,10,,,,,,
AMBON17-020,ML6.6,20170810,70.726,-161.937,39.23,4.36,31.78,1,0.7,2.08,0.87,1.27,15.57,-1.64
AMBON17-020,ML6.6,20170810,70.726,-161.937,38.48,4.35,31.78,2,,,,,,
AMBON17-020,ML6.6,20170810,70.726,-161.937,30.36,4.37,31.78,3,0.65,2.13,0.82,2.81,15.06,
AMBON17-020,ML6.6,20170810,70.726,-161.937,30,4.37,31.78,4,,,,,,
AMBON17-020,ML6.6,20170810,70.726,-161.937,20.27,7.33,31.49,5,1.72,0.34,0.39,0.44,1.79,
AMBON17-020,ML6.6,20170810,70.726,-161.937,20.84,7,31.54,6,,,,,,
AMBON17-020,ML6.6,20170810,70.726,-161.937,10.12,8.94,31.33,7,1.29,0.38,0.3,0.4,1.78,
AMBON17-020,ML6.6,20170810,70.726,-161.937,9.48,8.94,31.33,8,,,,,,
AMBON17-020,ML6.6,20170810,70.726,-161.936,4.56,8.93,31.32,9,1.47,0.39,0.34,0.33,1.78,-1.64
AMBON17-020,ML6.6,20170810,70.726,-161.936,4.7,8.94,31.33,10,,,,,,
AMBON17-021,ML6.7,20170810,70.844,-161.537,42.63,4.76,32.16,1,0.7,1.44,0.87,3.58,8.71,-1.32
AMBON17-021,ML6.7,20170810,70.844,-161.537,42.54,4.75,32.16,2,,,,,,
AMBON17-021,ML6.7,20170810,70.844,-161.538,29.31,4.79,32.16,3,0.68,1.62,0.97,0.93,11.54,
