Year,Station_Name,tLength,tNum,PALO,NOFU,STSH,KIEI,SPEI,REPH,RNPH,POJA,PAJA,LTJA,GLGU,BLKI,SAGU,ARTE,COMU,TBMU,DOVE,KIMU,ANMU,CAAU,PAAU,CRAU,LEAU,HOPU,TUPU
2015,ML6.4,41058.29793,14,0,0,0.082205143,0,0,0,0,0,0.23978016,0,0,0.320678921,0,0,0.57614414,0.233246139,0,0,0,0,0.626250599,0.264829038,0,0,0
2015,ML1.4,38116.80308,13,0,0,26.85922753,0,0,0,0,0,0.350074752,0,0,0.434368231,0.08717247,0,0,0.786115285,0,1.215680655,0,0,0,0.175274915,0,0,0
2015,BBL6,29012.28726,10,0,0.231371958,0.123106066,0,0,0,0,0,0,0,0,6.346207594,0,0,0,2.174763567,0,0,0,0,0.91606107,0,0.591712586,0,0
2015,DBO3.8,29239.92609,10,0,0,0.738670533,0,0,0.343627053,0,0.229084702,0,0,0.170920281,0.341734845,0,0,0.677258248,3.783221741,0,0,0,0,0,0,0,0,0
2015,DBO3.7,29473.06384,10,0,0.339311708,4.476455777,0,0,0,0,0,0,0,0.167724076,0.167724076,0,0,2.800250148,2.936309263,0,0,0,0,0.337638283,1.02023986,16.91877957,0,0
2015,DBO3.6,29236.01229,10,0,1.547186148,23.12569298,0,0,0,0,0,0,0,0,0.863626097,0,0,0,3.280643458,0,0,0,0,0,0,40.60305711,0.170315591,0
2015,DBO3.5,44166.61934,15,0,0.341555859,0.115792509,0,0,0.111802054,0,0,0,0,0.347377526,0.338872658,0,0,1.986787443,2.53969211,0,0,0,0,0.341483621,0.46297067,64.13450029,0.116166293,0
2015,DBO3.4,17627.34007,6,0,0.288275283,1.137356753,0,0,0,0,0,0,0,1.673104437,2.26102795,0,0,0,1.705812465,0,0,0,0,0,0.280777916,34.25572401,0,0.288275283
2015,DBO3.3,14596.32657,5,0,0.34609303,0,0,0,0.341213677,0,0,0,0,0,0.343732869,0,0,0,1.028899322,0,0,0,0,0,0.343732869,0,0,0
2015,DBO3.2,17350.69528,6,0,0.560729255,0,0,0,0.840642063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842449343,0,1.129822487,0.280863115,0
2015,DBO3.1,38174.52365,13,0,0.087157551,0.130590696,0,0,0.129734576,0,0,0,0,0,0.08670854,0,0,0,0,0,0,0,0,0.130590696,0,0,0,0
2015,CL1,32224.36255,11,0,0,1.141727939,0,0,0,0,0,0,0,0,0.670354275,0,0,6.273735577,2.74650057,0,0,0,0,0.206290978,0,19.85469269,0.362666375,0.310209893
2015,CL0,20437.57119,7,0,0,0.654593766,0,0,0.160755755,0,0,0,0,0,1.640140167,0,0,18.58674927,1.32576446,0,0,0,0,0,0,0,0.164141507,0.164233537
2015,CL1.5,26371.482,9,0,0,1.76614799,0,0,0,0,0,0,0,0,0.443413467,0,0,1.667540404,3.086175694,0,0,0,0,0.255756332,0,60.9437491,0.12798999,0.124847158
2015,CL2,17560.41402,6,0,0.378587507,4.172563053,0,0,0.567881261,0,0,0,0,0,0.376656375,0,0,0,1.139110119,0,0,0,0,0,0,26.48736671,0,0
2015,CL2.5,17555.35843,6,0,0,4.170825782,0,0,0,0,0,0,0.19330118,0.19104043,0.7612987,0,0,0,0.381651701,0,0,0,0,0,0,7.815383742,0,0
2015,CL3,26347.16598,9,0,0.126039884,1.393674987,0,0,2.138899837,0,0.127814065,0,0,0,0.380856065,0,0,0.383790763,0.761433949,0,0,0,0,0,0.127763162,13.2494654,0,0
2015,ML6.1,17550.49296,6,0,0.759262787,0.189815697,0,0,0,0,0,0,0,0,1.706150599,0,0,0.399961526,3.420177516,0,0,0,0,0,0,0,0,0
2015,ML1.3,26289.96905,9,0,0,1.016163525,0,0,0,0,0,0,0,0,0,0,0,1.124392266,0,0,0,0,0,0.259914899,0,0,0,0
2015,ML6.3,32294.74367,11,0,0,0.103409895,0,0,0.103409895,0,0,0,0,0.206018494,2.164276387,0,0,0.262840576,2.077943283,0,1.538192497,0,0,0.140648725,0,0,0,0
2015,ML6.5,20165.79977,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646732251,0,0.491730105,0,0,0,0,0,0,0
2015,ML6.6,32072.8391,11,0,0,0.101808733,0,0,0,0,0,0,0,0,0.311073781,0,0,0,0.313676885,0,1.442509852,0,0,0,0.307875936,0,0.207225556,0
2015,ML3.4,46812.00177,16,0,0.071634397,0.777907709,0,0,0,0,0,0,0,0,0.783732294,0,0,0,0.069755446,0,0.070594972,0,0,0.071863666,2.148531971,0,0,0.069755446
2015,ML6.8,23438.583,8,0,0,0,0,0,0,0,0,0,0,0.286462351,0,0,0,0,0,0,0,0,0,0,0.715799442,0,0,0
2015,ML6.9,29056.49649,10,0,0,0,0,0,0.117575569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114960081,0,0,0
2015,ML4.1,11421.53608,4,0.309475035,0,0,0,0,3.362372006,0,0,0,0,0.586052314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ML6.11,14689.28735,5,0,0,0,0,0,3.815904881,0,0,0.229583591,0,0,0,0,0,0,0,0,0,0,0,0,0.224998266,0,0,0
2015,ML4.4,35075.3489,12,0,0,0,0,0,1.126770037,0,0,0,0,0,0,0,0,0,0.096055832,0,0,0,0,0,0.192648718,0,0,0
2015,ML4.3,23414.87115,8,0,0.28171032,0,0,0,6.340711161,0,0,0,0,0,0,0,0,0,0.424610574,0,0,0,0,0,0.572036836,0,0,0
2015,ML4.2,17500.06627,6,0,0,0,0,0,0.768199277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193230312,0,0,0
2015,ML4.5,20529.82962,7,0,0,0,0,0,2.560529748,0,0,0,0,0,0,0,0.321089579,0,0.160301869,0,0,0,0,0,1.478427857,0,0,0
2015,ML4.7,38062.77823,13,0,0.131687799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662056491,0,0,0
2015,ML4.6,34915.80427,12,0,0,0.096578093,0,0,0.894776677,0.358872576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769730069,0,0,0
2015,ML4.8,41084.28173,14,0,0,0,0,0,0.413212575,0,0,0,0,0.123912561,0.082642515,0,0,0,0,0,0,0,0,0,1.096707158,0,0,0
2015,ML4.9,35090.09598,12,0,0,0,0,0,0.191725392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285570613,0,0,0
2015,ML4.10,32221.84295,11,0,0,0,0,0,0.425051564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.032222976,0,0,0
2015,ML4.11,40888.88109,14,0,0.081510149,0,0,0,0,0,0.161477049,0,0,0,0.244469419,0,0,0,0,0,0,0,0,0,0.161102664,0.244343614,0,0
2015,ML4.12,32117.51958,11,0,0.103700995,0,0,0,1.130224774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.251679793,0,0,0
2015,ML4.13,37716.69876,13,0,0,0,0,0,1.472976428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.392025492,0,0,0
2015,ML4.14,20499.68515,7,0,0,0,0,0,1.648458817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.457134157,0,0,0
2015,ML3.14,8859.275503,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372711119,0,0,0
2015,ML3.13,17501.0334,6,0,1.341187059,0.192144478,0,0,2.856633282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531905625,0,0,0
2015,ML3.12,31891.87873,11,0,0.221101935,0,0,0,0.73930036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.451292846,0,0,0
2015,ML3.11,32162.3276,11,0,0.104719056,0.825557084,0,0,0.625839083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.761858021,0,0,0
2015,ML3.10,37930.11271,13,0,0,4.819309435,0,0,1.207748663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.480327317,0,0,0
2015,ML3.9,26471.87997,9,0,0,0,0,0,0.251110394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254685021,0,0,0
2015,ML5.8,35037.38082,12,0,0.143207385,0,0,0,0.285384276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.473730552,0,0,0
2015,ML3.8,35035.78214,12,0,0,0.568031381,0,0,0.09719056,0,0,0,0,0.095028262,0,0,0,0,0,0,0,0,0,0,26.13998056,0.093009551,0,0
2015,ML3.7,32185.90925,11,0,0,0,0,0,0.418663602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.71283004,0,0,0
2015,ML3.6,34993.88563,12,0,0,0,0,0,0,0.094375978,0,0,0,0.097151636,0,0,0,0,0,0,0,0,0,0,3.890953812,0,0,0
2015,ML3.5,46579.36278,16,0,0.071852797,2.118348968,0,0,3.065603639,0,0,0,0,0.071852797,0,0,0,0,0,0,0,0,0,0,3.373748983,0,0,0
2015,ML3.3,26198.99785,9,0,0,0.572762948,0,0,0,0,0,0,0,0.125656166,0,0,0,0,0,0,0,0,0,0,0.901739061,0,0,0
2015,ML3.2,34868.27617,12,0.190724256,0,0.187009586,0,0,0.094851321,0,0,0,0,0.385266452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ML3.1,11697.29471,4,0.566986564,0,0,0,0,0,0,0,0,0,0.566986564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ML5.10,26180.97771,9,0,0.375439119,0.946225997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.259108526,0.196008076,0,0
2015,ML5.7,26224.19361,9,0,0.377270278,0.63825676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382103105,0,0,0
2015,ML5.9,29232.95116,10,0,0,1.817949075,0,0,0,0,0,0,0,0.34036558,0,0,0,0,0,0,0,0,0,0,3.138547539,0,0,0
2015,ML5.6,23395.73737,8,0,0.139946829,0.857957521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143894791,0,0,0
2015,ML5.5,37486.59224,13,0,0,0.891326176,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088311049,0,0,0,0,0.731651022,0,0,0
2015,ML5.1,11718.06723,4,0,0,17.06028383,0,0,0,0,0,0,0,0,0.284625081,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ML5.2,17409.53798,6,0,0,5.758748781,0,0,0.382283442,0,0,0.190297925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ML1.8,34968.2389,12,0,0,1.619582831,0,0,0,0,0.096116316,0,0,0,0.096518126,0,0,0,0.77034087,0,0,0,0,0,0.475447474,0,0.096116316,0
2015,ML5.3,17599.1381,6,0,0,1.693968005,0,0,0,0,0,0.187975506,0,0,0.187975506,0,0,0,0,0,0,0,0,0,0.186307335,0,0,0
2015,ML5.4,14712.43191,5,0,0,1.806496292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224936216,0,0,0
2015,ML1.12,35077.04855,12,0,0,0.285390556,0,0,0,0,0,0,0,0,0.285938196,0,0,0,0.286772668,0,0,0,0,0.14695108,19.44256245,0,0,0.094208942
2015,ML1.13,26320.49122,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84940718,0,0,0
2015,ML1.10,20411.93696,7,0,0,0.318825411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167830517,0,0,0,0,7.025165313,0,0,0
2015,ML1.11,32140.40451,11,0,0,0.309825225,0,0,0,0,0,0,0,0,0,0,0,0.103640552,0,0,0,0,0,0,1.243850923,0,0,0
2015,ML1.9,26300.86595,9,0,0.126610081,0.507040017,0,0,0.126610081,0,0,0,0,0,0.123869848,0,0,0,0,0,0,0,0,0,2.40560873,0.128282457,0,0
2015,ML1.5,17644.12812,6,0,0,0.564415756,0,0,0,0,0,0,0,0,1.511881039,0.374979342,0,0,1.127358795,0,0,0,0,0,0,0,0,0
2015,ML1.6,29189.65239,10,0,0,0.848808214,0,0,0,0,0,0,0,0,0.230438858,0,0,1.107094237,0.158353717,0,0.226114054,0,0,0,1.138105443,0,0,0
2015,ML1.7,29187.43241,10,0,0.113884012,0.684697617,0,0,0,0,0,0,0,0,0.114671983,0.231273662,0,0.403499575,1.195503383,0,0,0,0,0,0.115636831,0,0,0
2015,ML1.1,11725.68417,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ML1.2,14646.51359,5,0,0,0,1.426503347,3.566258367,0,0,0,0.333336876,0,0,0.349836479,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,DBO3.1,14373.92342,5,0,0.230566773,0,0,0,0,0,0,0,0,0,0.703054377,0,0,0,0,0,0,0,0,1.239293106,0,0.324400642,0.337052685,0.230566773
2017,DBO3.2,8697.066108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.712645617,3.449549323,0,0
2017,DBO3.5,11773.72536,4,0,0.42055482,0,0,0,0,0,0,0,0,0,0,0,0,0.425488574,0,0,0,0,0,0,0,0,0,0
2017,DBO3.6,8821.232019,3,0,1.141906938,0.382107035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,DBO3.7,8476.2711,3,0,0,0.764309385,0,0,0,0,0,0,0,0,1.246696609,0,0,0,0.382154693,0,0,0,0,0,0,0,0,0
2017,DBO3.8,11678.85138,4,0,0,0.863931911,0,0,0,0,0,0,0,0,0.56683068,0,0,0.85195837,0.283794702,0,0,0,0,0,0,0,0,0
2017,CL2,20445.5618,7,0,0.16154757,0.159147322,0,0,0,0,0,0,0,0,1.621353564,0,0,0.32309514,0.65439595,0,0,0,0,0.327197975,0.170016973,0,0,0
2017,CL1.5,29241.00082,10,0,0.449914213,0.56519949,0,0,0,1.136258846,0,0,0,0,2.176337855,0,0,0,4.039822694,0,0,0,0,0.113624837,0,0.114954237,0,0
2017,CL1,17499.66467,6,0,0.771072147,0.190719951,0,0,0,0,0,0,0.189281429,0,0.580938545,0,0,0.238853004,0.722086921,0,0,0,0,0.190133603,0,0,0,0
2017,CL0,17523.30767,6,0,0,0.192790986,0,0,0,0,0,0,0,0,0.192790986,0,0,0,1.900943186,0,0,0,0,0.189453821,0,0,0,0
2017,ML6.1,14667.73628,5,0,0,0.684810416,0,0,0,0,0,0,0,0,0,0,0,0,1.367981261,0,0,0,0,0,0,0,0,0
2017,ML1.3,26127.97488,9,0,0,0.504644489,0,0,0,0,0,0,0,0,0.253964122,0,0,0,0.126257326,0,0,0,0,0,0,0,0,0
2017,ML6.3,5900.965446,2,0,0.56457901,0,0,0,0,0,0,0,0,0,1.695539833,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML6.4,8655.988375,3,0,0.385439428,0,0,0,0,0,0,0,0,0,0.386310041,0,0,0,0,0,0,0,0,0,0,0.767061229,0,0
2017,ML3.4,8759.922478,3,0,4.188610541,0,0,0,0,0,0.379393931,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1441273,0,0,0
2017,ML6.8,17501.73243,6,0,4.000667549,0,0,0,0,0,0,0.192536776,0,0,0.577610328,0,0,0,0,0,0,0,0,0,6.891977358,0.38445161,0,0
2017,ML6.9,17415.98896,6,0,4.579965769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38606813,0,0,0,0,0,1.732591587,1.257410719,0,0
2017,ML4.3,61198.6583,21,0,3.93313064,0,0,0,0,0,0,0,0,0,0.080661453,0,0,0,0,0,0.327456086,0,0.082364148,0,0.902731606,0.163397855,0,0.163397855
2017,ML4.2,32245.48089,11,0,8.224107129,0.465597134,0,0,0,0.619547917,0,0,0,0.614054017,0,0,0,0,0.154638727,0,0,0,0,0,0.311044549,0,0,0
2017,ML4.1,5879.979163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML4.4,26259.28561,9,0,0.760122384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186426084,0,0,0,0,0,0.189764433,0.186457288,0,0
2017,ML4.5,17313.85656,6,0,0.576533051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML4.6,5858.860773,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML4.9,29337.45674,10,0,0.337640556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115030506,0.562734259,0,0
2017,ML4.10,26462.3687,9,0,0.126668526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50484356,0,0,0
2017,ML4.11,29310.99029,10,0,0.344292275,0,0,0,0,0,0,0,0,0.112756683,2.050239741,0,0,0,0,0,0,0,0,0,0.450892863,0,0,0
2017,ML4.12,17569.91129,6,0,0.752348614,0,0,0,0,0,0.189209916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189209916,0,0,0
2017,ML4.13,17569.00398,6,0,0.56818183,0,0,0,0,0,0,0.187857327,0,0,2.44758899,0,0,0,0,0,0,0,0,0,0.375714654,0.190579195,0,0
2017,ML4.14,8705.066792,3,0,1.148853953,0,0,0,0,0,0,0,0,0.379311668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML4.8,20443.67852,7,0,0,0,0,0,0,0,0,0,0,0.161910095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML4.7,8807.453399,3,0,0,0,0,0,0,0,0,0,0,0,0.380149736,0,0,0,0,0,0.380149736,0,0,0,0,0,0,0
2017,ML5.10,8716.804674,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.750414064,0,0,0
2017,ML3.12,23490.09639,8,0,1.264968899,0.285300604,0,0,0,0,0,0,0,0.142769568,0,0,0,0,0.429720309,0,0,0,0,0,8.52852485,0,0,0.143240103
2017,ML3.13,35143.14342,12,0,0.760401311,0.187016633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68454463,0.284994131,0,0
2017,ML3.14,17622.2655,6,0,0.385748973,0.188292291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.042326386,0.376959785,0,0
2017,ML3.11,5850.707518,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.75831322,0.571292085,0,0
2017,ML5.8,2650.51855,1,0,2.515231092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML3.8,5899.615767,2,0,0.560705354,0,0,0,0,0,0,0,0.560705354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML3.7,17582.47584,6,0,1.139070391,0.757079549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379345451,0,0,0,0,0,0
2017,ML3.6,14700.51734,5,0,1.1373903,0.22252723,0,0,0,0,0,0,0,0.45705682,0,0,0,0,0.462304846,0,0,0,0,0,0,0,0,0
2017,ML3.5,17654.12963,6,0,0,0.56186042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML1.1,17571.95327,6,0,0,0,0.187881389,0.751525556,0,0,0,0,0.191464832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML1.2,14625.69932,5,0,0,0,0,0,0,0,0,0,0,0,0.692091521,0,0,0,0,0,0,0,0,0,0,0,0.683386297,0
2017,ML1.6,5880.39461,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML1.7,14619.88148,5,0,0.227675015,0,0,0,0,0,0,0,0,0.228292815,0.45535003,0,0,0,0.684878446,0,0,0,0,0,0,0.679994658,0,0
2017,ML5.3,11740.18234,4,0,0.567756103,0,0,0,0,0,0,0,0,0,0.28035417,0,0,0,0.287080458,0,0,0,0,0,0,0,0,0
2017,ML1.8,5844.031555,2,0,0,0,0,0,0,0,0,0,0,0,1.122943119,0,0,0,0,0,0,0,0,0,0,2.245886238,0,0
2017,ML1.9,14500.21661,5,0,0.673587431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.139227333,0.227619324,0,0
2017,ML1.10,17590.08542,6,0,0.760391217,0,0,0,0,0.188395563,0,0,0,0,1.331463558,0,0,0,0.188395563,0,0,0,0,0,2.075836634,2.07392689,0,0
2017,ML1.11,8716.962074,3,0,0.775702812,0,0,0,0,0,0.778664137,0,0,0.386370743,0,0,0,0,0,0,0,0,0,0,1.557328273,0,0,0
2017,ML5.7,17508.43261,6,0,0.572702945,7.780852411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955194617,0.191245836,0,0
2017,ML5.6,17571.99917,6,0,2.818441409,0.373820645,0,0,5.60730967,1.300810105,0,0,0,0.193028229,0,0,0,0.577047581,0.192349194,0,0,1.148408501,0,0,20.53813429,0.378179209,0,0
2017,ML5.5,8757.304705,3,0,0,0,0,0,0,0,0.384879687,0,0,0,0,0,0,0,0,0,0,0,0,0,22.92467136,0,0,0
2017,ML5.2,8810.37458,3,0,0,0,0,0,0,0,0.376771247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,ML5.1,8794.695932,3,0,0.377299618,0.377912229,0,0,0,0,0.381869483,0,0,0.381869483,0.377299618,0,0,0,0.381869483,0,0,0,0,0,0,0,0,0
2017,BBL2,26302.06467,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,BBL1,17611.65079,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189586886,0,0,0,0,0,0,0,0,0
2017,BBL3,17582.50613,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,BBL4,17631.09408,6,0,0,7.078287624,0,0,0,0,0,0,0,0,0.569525729,0,0,0,0,0,0,0,0,0,0,0,0.561410844,0
2017,BBL5,17612.9881,6,0,0,0.18943099,0,0,0,0,0,0,0,0,0.942053121,0,0,0,0.188762807,0,0,0,0,0,0,0,0,0
2017,BBL6,8745.345469,3,0,0,0,0,0,0,0,0,0,0,0.37729265,1.891415354,0,0,0,1.131877951,0,0,0,0,0,0,0,0,0
2017,BBL10,8805.510212,3,0,1.510775395,0,0,0,0,0,0,0,0,0,3.410378329,0,0,0.487046482,1.939221001,0,0,0,0,0,0.487046482,0.487046482,0,0
2017,BBL11,17629.2519,6,0,1.140109472,0.187072821,0,0,0,0,0,0,0,0.192651985,0.568269542,0,0,0,3.03767145,0,0,0,0,0,1.326247241,0,0,0
2017,BBL12,11805.95458,4,0,1.987586631,1.681202289,0,0,0,0,0,0,0,0,0,0,0,0,12.96210015,0,0,0,0,0,0,0.851125434,0,0