Cruise,eventDate,locationID,decimalLatitude,decimalLongitude,maximumDepthInMeters,samplingProtocol,Haul,Quantitative,Distance,Width,SST,BT,SSS,Bsal
AMBON15,2015-08-13T05:50-08:00,CL0,68.90218,-166.413,31,IKMT,3,Quantitative,362.8697053,,10.2182,9.7864,30.075,30.1976
AMBON15,2015-08-13T05:38-08:00,CL0,68.909565,-166.4094,31,PSBTA,11,Quantitative,230.7396678,2.257,10.2182,9.7864,30.075,30.1976
AMBON15,2015-08-13T08:31-08:00,CL1,68.948515,-166.91285,45,PSBTA,12,Quantitative,260.158685,2.257,10.0265,7.4619,30.1181,31.7046
AMBON15,2015-08-14T05:18-08:00,CL2,69.03027,-167.9392,47,PSBTA,14,Quantitative,264.2284224,2.257,8.9493,6.399,30.879,31.9789
AMBON15,2015-08-13T22:18-08:00,CL3,69.029805,-168.90595,51,IKMT,4,Quantitative,722.7787602,,7.954,4.7253,31.7894,32.1396
AMBON15,2015-08-13T21:54-08:00,CL3,69.03186,-168.89528,51,PSBTA,13,Quantitative,212.2864942,2.257,7.954,4.7253,31.7894,32.1396
AMBON15,2015-08-13T00:14-08:00,DBO3.1,68.30091,-166.9406,34,PSBTA,9,Non-Quantitative,211.3823222,2.257,10.281,8.4617,30.0728,31.1977
AMBON15,2015-08-13T00:31-08:00,DBO3.1,68.301565,-166.9429,34,PSBTA,10,Quantitative,266.9031834,2.257,10.281,8.4617,30.0728,31.1977
AMBON15,2015-08-12T22:55-08:00,DBO3.2,68.24646,-167.12595,41,IKMT,2,Quantitative,527.1351095,,8.5109,7.6413,31.4896,31.7238
AMBON15,2015-08-12T22:40-08:00,DBO3.2,68.24373,-167.124,41,PSBTA,8,Quantitative,288.399583,2.257,8.5109,7.6413,31.4896,31.7238
AMBON15,2015-08-12T20:50-08:00,DBO3.3,68.187105,-167.30835,47,PSBTA,7,Quantitative,302.4083995,2.257,7.6238,7.3734,31.7843,31.9014
AMBON15,2015-08-12T07:57-08:00,DBO3.4,68.128835,-167.49755,47,PSBTA,5,Quantitative,162.901389,2.257,7.4083,5.8559,31.9437,32.0327
AMBON15,2015-08-12T08:14-08:00,DBO3.4,68.12776,-167.49825,47,PSBTA,6,Quantitative,222.5264263,2.257,7.4083,5.8559,31.9437,32.0327
AMBON15,2015-08-12T05:21-08:00,DBO3.5,68.012385,-167.86695,50,PSBTA,4,Quantitative,237.2335446,2.257,7.3785,4.6806,31.7516,32.2596
AMBON15,2015-08-12T02:50-08:00,DBO3.6,67.899335,-168.2356,56,PSBTA,3,Quantitative,251.4074472,2.257,5.9858,4.1919,32.4077,32.6032
AMBON15,2015-08-12T00:18-08:00,DBO3.7,67.778185,-168.603,48,PSBTA,2,Quantitative,254.1401643,2.257,5.5726,3.9225,32.6913,32.6893
AMBON15,2015-08-11T22:01-08:00,DBO3.8,67.67514,-168.9573,48,IKMT,1,Quantitative,528.0717878,,6.0512,3.8203,32.649,32.745
AMBON15,2015-08-11T21:41-08:00,DBO3.8,67.67147,-168.95775,48,PSBTA,1,Quantitative,248.4246896,2.257,6.0512,3.8203,32.649,32.745
AMBON15,2015-09-03T03:59-08:00,ML1.1,70.034395,-162.7684,13,IKMT,30,Quantitative,266.938179,,7.4819,7.2228,29.6269,30.6003
AMBON15,2015-09-03T03:45-08:00,ML1.1,70.0373,-162.7863,13,PSBTA,75,Quantitative,259.5517289,2.257,7.4819,7.2228,29.6269,30.6003
AMBON15,2015-09-01T07:20-08:00,ML1.10,71.145135,-166.03305,41,IKMT,26,Quantitative,684.3678009,,4.2698,0.3864,31.9092,32.3599
AMBON15,2015-09-01T06:47-08:00,ML1.10,71.143135,-166.02985,41,PSBTA,66,Non-Quantitative,354.4808757,2.257,4.2698,0.3864,31.9092,32.3599
AMBON15,2015-09-01T07:06-08:00,ML1.10,71.14378,-166.028675,41,PSBTA,67,Non-Quantitative,442.1420489,2.257,4.2698,0.3864,31.9092,32.3599
AMBON15,2015-09-01T04:11-08:00,ML1.11,71.26343,-166.42675,43,PSBTA,65,Quantitative,278.5427476,2.257,4.2273,0.091,31.8668,32.4007
AMBON15,2015-09-01T01:33-08:00,ML1.12,71.38488,-166.8244,45,PSBTA,64,Quantitative,297.207689,2.257,3.8523,0.2572,31.7963,32.3332
AMBON15,2015-08-31T22:35-08:00,ML1.13,71.5075,-167.21855,47,IKMT,25,Quantitative,711.7659464,,3.9035,-0.1502,31.7356,32.3812
AMBON15,2015-08-31T22:04-08:00,ML1.13,71.50988,-167.2197,47,PSBTA,62,Non-Quantitative,255.6824871,2.257,3.9035,-0.1502,31.7356,32.3812
AMBON15,2015-08-31T22:21-08:00,ML1.13,71.509775,-167.21935,47,PSBTA,63,Quantitative,263.6571488,2.257,3.9035,-0.1502,31.7356,32.3812
AMBON15,2015-09-03T01:13-08:00,ML1.2,70.14116,-163.05405,20,PSBTA,74,Quantitative,270.0680774,2.257,7.5981,7.5301,30.682,30.7489
AMBON15,2015-09-02T23:09-08:00,ML1.3,70.269545,-163.4069,28,IKMT,29,Quantitative,466.0198257,,7.5981,7.5301,30.682,30.7489
AMBON15,2015-09-02T21:18-08:00,ML1.4,70.400415,-163.7541,33,PSBTA,73,Quantitative,258.832682,2.257,7.2292,6.6107,30.9733,31.2141
AMBON15,2015-09-02T07:02-08:00,ML1.5,70.520215,-164.126,42,PSBTA,72,Quantitative,269.1417403,2.257,5.7068,5.5896,31.6739,31.699
AMBON15,2015-09-02T04:30-08:00,ML1.6,70.646575,-164.50425,45,IKMT,28,Quantitative,727.2227864,,5.0948,4.8999,31.8608,31.8786
AMBON15,2015-09-02T04:15-08:00,ML1.6,70.648165,-164.50265,45,PSBTA,71,Quantitative,268.7578586,2.257,5.0948,4.8999,31.8608,31.8786
AMBON15,2015-09-02T01:55-08:00,ML1.7,70.772115,-164.8846,38,PSBTA,70,Quantitative,282.7738107,2.257,5.0186,4.8204,31.8818,31.8975
AMBON15,2015-09-01T23:41-08:00,ML1.8,70.894035,-165.25865,39,IKMT,27,Quantitative,701.6505686,,5.1019,1.2476,31.8683,32.2957
AMBON15,2015-09-01T23:28-08:00,ML1.8,70.89604,-165.25165,39,PSBTA,69,Quantitative,260.9910576,2.257,5.1019,1.2476,31.8683,32.2957
AMBON15,2015-09-01T21:06-08:00,ML1.9,71.019405,-165.6375,41,PSBTA,68,Quantitative,303.4214994,2.257,4.847,0.7074,31.8893,32.3337
AMBON15,2015-08-25T02:12-08:00,ML3.1,70.4926,-160.62325,15,IKMT,18,Quantitative,320.8068078,,4.4157,2.2122,31.4961,31.7883
AMBON15,2015-08-25T01:57-08:00,ML3.1,70.495775,-160.6066,15,PSBTA,53,Quantitative,237.0884113,2.257,4.4157,2.2122,31.4961,31.7883
AMBON15,2015-08-23T05:23-08:00,ML3.10,71.61897,-163.7596,39,PSBTA,44,Quantitative,291.3382099,2.257,5.4103,0.7142,29.8421,32.2167
AMBON15,2015-08-23T03:00-08:00,ML3.11,71.744425,-164.15005,38,IKMT,15,Quantitative,551.3708419,,5.6585,1.4859,30.3275,32.1785
AMBON15,2015-08-23T02:46-08:00,ML3.11,71.744905,-164.15745,38,PSBTA,43,Quantitative,281.4733747,2.257,5.6585,1.4859,30.3275,32.1785
AMBON15,2015-08-22T23:56-08:00,ML3.12,71.869465,-164.56685,38,PSBTA,42,Quantitative,273.1583655,2.257,6.683,1.1292,31.3803,32.113
AMBON15,2015-08-22T21:15-08:00,ML3.13,71.993115,-164.94765,38,PSBTA,41,Quantitative,273.3953714,2.257,7.326,1.4217,31.0931,32.0868
AMBON15,2015-08-22T07:55-08:00,ML3.14,72.120405,-165.3502,43,IKMT,14,Quantitative,664.0359407,,7.2891,1.6296,31.4227,32.2296
AMBON15,2015-08-22T07:41-08:00,ML3.14,72.11795,-165.3554,43,PSBTA,40,Quantitative,258.202755,2.257,7.2891,1.6296,31.4227,32.2296
AMBON15,2015-08-24T23:56-08:00,ML3.2,70.57916,-160.82905,25,PSBTA,51,Non-Quantitative,279.9555939,2.257,7.852,1.6417,30.8064,31.9902
AMBON15,2015-08-25T00:12-08:00,ML3.2,70.578245,-160.83155,25,PSBTA,52,Quantitative,295.4947848,2.257,7.852,1.6417,30.8064,31.9902
AMBON15,2015-08-24T21:03-08:00,ML3.3,70.7134,-161.1545,41,PSBTA,50,Quantitative,284.5724194,2.257,7.647,1.119,30.8051,32.0249
AMBON15,2015-08-24T06:04-08:00,ML3.5,70.976505,-161.8899,43,PSBTA,49,Quantitative,338.099572,2.257,7.4358,-0.8881,30.7623,32.2341
AMBON15,2015-08-24T03:39-08:00,ML3.6,71.10172,-162.24585,44,IKMT,17,Quantitative,740.838475,,7.5261,-1.1979,30.7732,32.2688
AMBON15,2015-08-24T03:25-08:00,ML3.6,71.10351,-162.24565,44,PSBTA,48,Quantitative,293.2451456,2.257,7.5261,-1.1979,30.7732,32.2688
AMBON15,2015-08-24T00:28-08:00,ML3.7,71.231295,-162.6282,45,PSBTA,47,Quantitative,275.2573255,2.257,5.9818,-1.2604,29.6814,32.2537
AMBON15,2015-08-23T21:55-08:00,ML3.8,71.36359,-162.99955,43,IKMT,16,Quantitative,626.8774209,,5.762,-0.2818,29.0882,32.2048
AMBON15,2015-08-23T21:35-08:00,ML3.8,71.362315,-163.0038,43,PSBTA,46,Quantitative,277.7990207,2.257,5.762,-0.2818,29.0882,32.2048
AMBON15,2015-08-23T07:49-08:00,ML3.9,71.48964,-163.3803,40,PSBTA,45,Quantitative,269.6819766,2.257,5.5842,0.7026,30.0167,32.2275
AMBON15,2015-08-18T21:10-08:00,ML4.1,70.89509,-159.3811,25,IKMT,8,Quantitative,404.754813,,7.5959,3.7614,30.893,31.4305
AMBON15,2015-08-18T20:57-08:00,ML4.1,70.892985,-159.3866,25,PSBTA,24,Quantitative,217.1497025,2.257,7.5959,3.7614,30.893,31.4305
AMBON15,2015-08-21T03:11-08:00,ML4.10,71.98048,-162.5336,30,PSBTA,35,Quantitative,281.9069116,2.257,4.348,-1.2175,27.2835,32.0627
AMBON15,2015-08-21T06:04-08:00,ML4.11,72.108125,-162.89775,38,IKMT,12,Quantitative,652.1673717,,4.2238,0.2338,26.6898,32.2099
AMBON15,2015-08-21T05:43-08:00,ML4.11,72.109345,-162.9243,38,PSBTA,36,Quantitative,278.2117126,2.257,4.2238,0.2338,26.6898,32.2099
AMBON15,2015-08-21T21:06-08:00,ML4.12,72.235835,-163.31055,38,PSBTA,37,Quantitative,289.0112032,2.257,6.3986,0.2559,31.0769,32.1645
AMBON15,2015-08-21T23:36-08:00,ML4.13,72.364645,-163.70165,42,PSBTA,38,Quantitative,278.2784254,2.257,7.1694,-0.1088,31.3496,32.3356
AMBON15,2015-08-22T02:44-08:00,ML4.14,72.493595,-164.1017,47,IKMT,13,Quantitative,838.4017306,,5.4278,-1.1484,30.9719,32.4775
AMBON15,2015-08-22T02:25-08:00,ML4.14,72.493175,-164.10265,47,PSBTA,39,Quantitative,306.6643607,2.257,5.4278,-1.1484,30.9719,32.4775
AMBON15,2015-08-18T22:45-08:00,ML4.2,70.930825,-159.50815,44,PSBTA,25,Quantitative,242.9052615,2.257,8.1634,0.7529,30.5768,32.0862
AMBON15,2015-08-19T01:17-08:00,ML4.3,71.062555,-159.8868,55,PSBTA,26,Non-Quantitative,285.9738625,2.257,6.9842,-1.6341,30.6681,32.4686
AMBON15,2015-08-19T01:34-08:00,ML4.3,71.06147,-159.88635,55,PSBTA,27,Non-Quantitative,307.9079553,2.257,6.9842,-1.6341,30.6681,32.4686
AMBON15,2015-08-19T04:44-08:00,ML4.4,71.193665,-160.2618,53,PSBTA,28,Quantitative,288.00996,2.257,4.6053,-1.65,29.6203,32.4721
AMBON15,2015-08-19T22:04-08:00,ML4.5,71.323525,-160.6552,46,PSBTA,30,Quantitative,298.3712329,2.257,4.7775,-1.6422,28.2134,32.4573
AMBON15,2015-08-20T01:07-08:00,ML4.6,71.457525,-161.03725,46,IKMT,10,Quantitative,691.8627316,,4.6807,-1.6296,28.6748,32.4498
AMBON15,2015-08-20T00:51-08:00,ML4.6,71.45546,-161.03753,46,PSBTA,31,Quantitative,279.1498054,2.257,4.6807,-1.6296,28.6748,32.4498
AMBON15,2015-08-20T04:21-08:00,ML4.7,71.589855,-161.3974,45,PSBTA,32,Quantitative,346.6801703,2.257,4.5896,-1.5684,27.3991,32.3288
AMBON15,2015-08-20T22:24-08:00,ML4.8,71.720125,-161.7715,42,IKMT,11,Quantitative,639.2777771,,4.5099,-1.4375,26.9323,32.1131
AMBON15,2015-08-20T22:07-08:00,ML4.8,71.71978,-161.77735,42,PSBTA,33,Quantitative,287.7554063,2.257,4.5099,-1.4375,26.9323,32.1131
AMBON15,2015-08-21T00:54-08:00,ML4.9,71.850805,-162.15225,40,PSBTA,34,Quantitative,287.7218943,2.257,4.1238,-1.4401,26.935,32.1386
AMBON15,2015-08-31T08:19-08:00,ML5.1,70.646345,-165.99745,41,IKMT,24,Quantitative,671.8447194,,5.5213,5.4707,31.7744,31.7758
AMBON15,2015-08-31T08:06-08:00,ML5.1,70.647245,-165.99565,41,PSBTA,61,Quantitative,284.5885529,2.257,5.5213,5.4707,31.7744,31.7758
AMBON15,2015-08-30T00:04-08:00,ML5.10,71.606705,-162.195,42,IKMT,20,Quantitative,652.5006881,,2.3209,-0.313,30.7764,32.196
AMBON15,2015-08-29T23:49-08:00,ML5.10,71.60585,-162.203,42,PSBTA,54,Quantitative,307.3390678,2.257,2.3209,-0.313,30.7764,32.196
AMBON15,2015-08-29T21:10-08:00,ML4.8,71.722455,-161.78535,43,IKMT,19,Quantitative,611.6651479,,2.3209,-0.313,30.7764,32.196
AMBON15,2015-08-31T06:04-08:00,ML5.2,70.771325,-165.6327,39,PSBTA,60,Quantitative,344.9675849,2.257,5.0143,5.0103,31.8723,31.8734
AMBON15,2015-08-31T02:38-08:00,ML5.4,71.02273,-164.87255,33,IKMT,23,Quantitative,735.4279119,,4.4473,4.0442,31.9335,31.9754
AMBON15,2015-08-31T02:25-08:00,ML5.4,71.023255,-164.8732,33,PSBTA,59,Quantitative,289.2980288,2.257,4.4473,4.0442,31.9335,31.9754
AMBON15,2015-08-31T00:21-08:00,ML5.5,71.14617,-164.4813,41,IKMT,22,Quantitative,665.0015483,,4.0862,4.0921,31.9109,31.9103
AMBON15,2015-08-31T00:08-08:00,ML5.5,71.146205,-164.4836,41,PSBTA,58,Quantitative,301.8455915,2.257,4.0862,4.0921,31.9109,31.9103
AMBON15,2015-08-30T21:15-08:00,ML5.6,71.11909,-163.8033,41,PSBTA,57,Quantitative,282.2807585,2.257,4.2887,4.233,31.8451,31.8987
AMBON15,2015-08-30T06:53-08:00,ML5.7,71.246465,-163.3967,42,PSBTA,56,Quantitative,294.7845131,2.257,4.4086,2.8658,31.6438,32.0816
AMBON15,2015-08-30T02:42-08:00,ML5.9,71.485925,-162.60945,42,IKMT,21,Quantitative,725.3523703,,4.3926,1.4279,31.1106,32.1649
AMBON15,2015-08-30T02:28-08:00,ML5.9,71.485965,-162.6066,42,PSBTA,55,Quantitative,301.6522023,2.257,4.3926,1.4279,31.1106,32.1649
AMBON15,2015-08-14T21:46-08:00,ML6.1,70.086825,-163.9717,30,IKMT,5,Quantitative,492.3049553,,9.4129,5.8705,30.7149,31.0286
AMBON15,2015-08-14T21:26-08:00,ML6.1,70.08649,-163.95705,30,PSBTA,15,Quantitative,264.3158635,2.257,9.4129,5.8705,30.7149,31.0286
AMBON15,2015-08-19T08:20-08:00,ML6.11,71.362735,-159.68745,49,IKMT,9,Quantitative,735.0627844,,4.8488,-1.6553,28.0808,32.4734
AMBON15,2015-08-19T07:59-08:00,ML6.11,71.358535,-159.6956,49,PSBTA,29,Quantitative,279.8549877,2.257,4.8488,-1.6553,28.0808,32.4734
AMBON15,2015-08-15T00:50-08:00,ML1.3,70.26883,-163.40245,29,PSBTA,16,Quantitative,259.1043287,2.257,9.1951,7.3361,30.7245,30.9119
AMBON15,2015-08-15T03:27-08:00,ML6.3,70.389035,-163.0277,30,PSBTA,17,Quantitative,271.0090249,2.257,9.0605,7.8044,30.7657,30.9232
AMBON15,2015-08-15T06:04-08:00,ML6.4,70.505745,-162.66855,33,IKMT,6,Quantitative,465.3193001,,8.9945,6.2849,30.8154,31.093
AMBON15,2015-08-15T05:48-08:00,ML6.4,70.507905,-162.65495,33,PSBTA,18,Quantitative,273.6605671,2.257,8.9945,6.2849,30.8154,31.093
AMBON15,2015-08-15T21:14-08:00,ML6.5,70.627945,-162.25665,38,PSBTA,19,Quantitative,294.5538833,2.257,8.6224,5.4637,31.0146,31.2818
AMBON15,2015-08-15T23:31-08:00,ML6.6,70.722205,-161.9405,40,PSBTA,20,Quantitative,299.0653909,2.257,8.6176,5.2377,31.0192,31.4477
AMBON15,2015-08-16T02:59-08:00,ML6.7,70.845175,-161.5377,43,PSBTA,21,Quantitative,292.3190788,2.257,8.7426,4.9265,30.7308,31.672
AMBON15,2015-08-16T05:47-08:00,ML6.8,70.960685,-161.13705,42,PSBTA,22,Quantitative,243.890464,2.257,8.6609,2.7151,30.4052,31.5758
AMBON15,2015-08-16T08:28-08:00,ML6.9,71.076795,-160.72815,54,IKMT,7,Quantitative,730.1109721,,8.0185,1.2559,30.501,32.1501
AMBON15,2015-08-16T08:15-08:00,ML6.9,71.07851,-160.7164,54,PSBTA,23,Quantitative,294.2516975,2.257,8.0185,1.2559,30.501,32.1501
AMBON17,2017-08-20T23:07-08:00,BBL1,69.34192,-163.52115,15,IKMT,29,Quantitative,166.8234682,,9.8612,8.8253,29.8181,30.1295
AMBON17,2017-08-20T23:22-08:00,BBL1,69.344915,-163.50625,15,PSBTA,89,Quantitative,141.5223659,2.257,9.8612,8.8253,29.8181,30.1295
AMBON17,2017-08-22T07:26-08:00,BBL10,70.192525,-167.36405,51,IKMT,32,Quantitative,1709.328284,,6.6742,3.8871,32.3966,32.7524
AMBON17,2017-08-22T08:32-08:00,BBL10,70.193385,-167.36315,51,PSBTA,98,Quantitative,241.8230314,2.257,6.6742,3.8871,32.3966,32.7524
AMBON17,2017-08-22T11:27-08:00,BBL11,70.27993,-167.8151,49,PSBTA,99,Quantitative,289.1635493,2.257,6.6823,1.6739,31.9961,32.4987
AMBON17,2017-08-22T14:16-08:00,BBL12,70.369965,-168.2792,45,PSBTA,100,Quantitative,147.0166753,2.257,6.8048,1.4907,31.9687,32.3594
AMBON17,2017-08-21T02:14-08:00,BBL2,69.450915,-163.91205,23,PSBTA,90,Quantitative,119.6755081,2.257,8.5336,7.7513,30.3101,30.5242
AMBON17,2017-08-21T05:57-08:00,BBL3,69.550265,-164.4,27,PSBTA,91,Quantitative,303.0049799,2.257,8.6718,7.5385,30.5975,30.8957
AMBON17,2017-08-21T09:00-08:00,BBL4,69.644115,-164.80515,32,IKMT,30,Quantitative,1502.326787,,8.9181,7.2519,30.6397,31.7777
AMBON17,2017-08-21T09:52-08:00,BBL4,69.647185,-164.80505,32,PSBTA,92,Quantitative,132.6377344,2.257,8.9181,7.2519,30.6397,31.7777
AMBON17,2017-08-21T12:30-08:00,BBL5,69.734215,-165.2127,36,PSBTA,93,Quantitative,253.1575338,2.257,9.1551,7.2665,30.8096,31.8921
AMBON17,2017-08-21T15:27-08:00,BBL6,69.826605,-165.62855,41,PSBTA,94,Quantitative,446.7142842,2.257,8.8821,5.8548,31.0196,32.112
